KFZID,BremseVo,BremseHi,Motorart,Motorbauart,Aufladung,Zylinder,Ventile,Hubraum,LeistungPS,LeistungMax,Drehmoment,Antriebsart,Getriebe,Lang,Breit,Hoch,Gesamtgewicht,Grundpreis,TestID
288039,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1461 ccm,116,4000 U/min,260 Nm,Front,Automat. Schaltgetriebe (Doppelkupplung),4419 mm,1796 mm,1440 mm,1935 kg,32999,5791
241371,Scheibe,Trommel,Otto,Reihe,,3.0,4.0,1199 ccm,82,5750 U/min,118 Nm,Front,Schaltgetriebe,3475 mm,1615 mm,1460 mm,1240 kg,14400,5188
241321,Scheibe,Scheibe,Gas,Reihe,Turbo,4.0,4.0,1395 ccm,110,4800 U/min,200 Nm,Front,Schaltgetriebe,4659 mm,1814 mm,1461 mm,1879 kg,26190,5265
283862,Scheibe,Scheibe,Diesel,Reihe,Bi-Turbo,4.0,4.0,1969 ccm,190,4250 U/min,400 Nm,Allrad,Automatikgetriebe,4688 mm,1902 mm,1658 mm,2450 kg,53100,5805
230321,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1968 ccm,140,4200 U/min,320 Nm,Front,Automat. Schaltgetriebe (Doppelkupplung),4802 mm,1855 mm,1417 mm,2020 kg,38150,5368
261790,Scheibe,Scheibe,PlugIn-Hybrid,PlugIn-Hyb,Bi-Turbo,6.0,4.0,2894 ccm,462,5250 U/min,700 Nm,Allrad,Automat. Schaltgetriebe (Doppelkupplung),5049 mm,1937 mm,1423 mm,2710 kg,109219,5659
298419,Scheibe,Scheibe,Voll-Hybrid,Voll-Hybri,,4.0,4.0,2487 ccm,218,6000 U/min,n.b.,Front,CVT-Getriebe,4885 mm,1840 mm,1445 mm,2100 kg,42881,5890
269298,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,2.0,1499 ccm,120,3600 U/min,270 Nm,Front,Schaltgetriebe,4040 mm,1735 mm,1476 mm,1685 kg,21600,5709
242486,Scheibe,Trommel,Otto,Reihe,,3.0,4.0,999 ccm,71,6000 U/min,91 Nm,Heck,Schaltgetriebe,3495 mm,1665 mm,1554 mm,1400 kg,13915,5252
250422,Scheibe,Scheibe,Otto,Reihe,Turbo,3.0,4.0,998 ccm,120,6000 U/min,171 Nm,Front,Schaltgetriebe,4310 mm,1780 mm,1470 mm,1820 kg,23990,5375
287892,Scheibe,Scheibe,Elektro,Stromerreg,,,,,150,,320 Nm,Front,Automatikgetriebe,4490 mm,1788 mm,1530 mm,1995 kg,35600,5729
249166,Scheibe,Scheibe,Otto,Boxer,Turbo,4.0,4.0,1600 ccm,170,4800 U/min,250 Nm,Allrad,CVT-Getriebe,4690 mm,1780 mm,1490 mm,2020 kg,37200,5434
